STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,st_case_year,idno
24,240381,0,1,5,41,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240381_2015,4737
24,240383,0,1,5,51,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240383_2015,4738
24,240386,0,1,8,1,1,0,1,0,140,0,3,7,5,7,8,7,8,8,8,8,100,0,240386_2015,4739
24,240387,0,1,5,56,2,0,1,0,680,0,3,7,5,7,8,7,8,8,8,8,990,0,240387_2015,4740
24,240387,0,2,5,56,2,0,1,0,680,0,3,7,5,7,8,7,8,8,8,8,990,0,240387_2015,4741
24,240388,0,1,6,4,1,0,0,0,0,910,7,4,77,6,7,3,7,7,7,7,0,910,240388_2015,4742
24,240395,0,1,5,62,2,0,1,0,760,0,1,7,1,7,9,7,1,3,2,4c,750,0,240395_2015,4743
24,240397,0,1,5,54,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240397_2015,4744
24,240402,0,1,5,47,1,0,0,0,760,0,2,7,3,7,4,7,1,3,1,2b,750,0,240402_2015,4745
24,240410,0,1,5,64,1,0,0,0,760,0,1,7,1,7,4,7,3,3,2,4a,750,0,240410_2015,4746
24,240414,0,1,5,62,2,1,0,0,741,0,2,7,3,7,1,7,2,3,2,4b,740,0,240414_2015,4747
24,240424,0,1,5,39,1,0,0,0,190,0,4,7,8,7,8,7,8,8,8,8,100,0,240424_2015,4748
24,240425,0,1,5,67,1,1,9,0,760,0,2,7,3,7,4,7,1,3,2,4b,750,0,240425_2015,4749
24,240430,0,1,5,53,1,1,1,0,690,0,1,7,2,7,1,7,1,1,2,11a,990,0,240430_2015,4750
24,240433,0,1,5,24,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,240433_2015,4751
24,240437,0,1,5,54,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240437_2015,4752
24,240439,0,1,5,82,2,1,0,0,760,0,1,7,2,7,9,7,4,3,2,3c,750,0,240439_2015,4753
24,240442,0,1,6,37,1,1,0,0,0,158,7,1,77,3,7,2,7,7,7,7,0,190,240442_2015,4754
24,240445,0,1,5,72,1,0,1,0,190,0,3,7,4,7,8,7,8,8,8,8,100,0,240445_2015,4755
24,240447,0,1,5,24,1,0,0,0,311,0,3,7,3,7,8,7,8,8,8,8,310,0,240447_2015,4756
24,240448,0,1,5,39,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240448_2015,4757
24,240449,0,1,6,19,1,1,0,0,0,180,7,2,77,3,7,3,7,7,7,7,0,190,240449_2015,4758
24,240454,0,1,5,36,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240454_2015,4759
24,240455,0,1,5,1,1,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,240455_2015,4760
24,240457,0,1,5,26,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0,240457_2015,4761
24,240459,0,1,5,55,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240459_2015,4762
24,240464,0,1,5,26,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240464_2015,4763
24,240465,0,1,5,38,1,0,0,0,230,0,3,7,4,7,8,7,8,8,8,8,100,0,240465_2015,4764
24,240465,0,2,5,28,2,0,0,0,230,0,3,7,4,7,8,7,8,8,8,8,100,0,240465_2015,4765
24,240469,0,1,5,3,2,1,1,0,781,0,1,7,2,7,4,7,2,1,2,11b,790,0,240469_2015,4766
24,240469,0,2,5,26,2,1,1,0,781,0,1,7,2,7,4,7,2,1,2,11b,790,0,240469_2015,4767
24,240476,0,1,5,19,1,0,0,0,312,0,3,7,3,7,8,7,8,8,8,8,310,0,240476_2015,4768
24,240477,0,1,5,45,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240477_2015,4769
24,240478,0,1,5,72,1,1,1,0,781,0,1,7,2,7,9,7,3,1,2,11c,790,0,240478_2015,4770
24,240479,0,1,5,56,1,0,1,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,240479_2015,4771
24,240482,0,1,5,24,2,0,0,0,890,0,4,7,9,7,8,7,8,8,8,8,800,0,240482_2015,4772
10,100005,0,1,5,57,1,0,1,0,160,0,3,7,3,7,8,7,8,8,8,8,100,0,100005_2014,4773
10,100021,0,1,5,10,2,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0,100021_2014,4774
10,100025,0,1,5,38,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100025_2014,4775
10,100031,0,1,5,34,1,0,0,0,312,0,3,7,3,7,8,7,8,8,8,8,310,0,100031_2014,4776
10,100033,0,1,5,53,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,100033_2014,4777
10,100037,0,1,5,50,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100037_2014,4778
10,100043,0,1,5,20,2,0,0,0,890,0,4,7,7,7,8,7,8,8,8,8,800,0,100043_2014,4779
10,100044,0,1,5,28,2,0,0,0,741,0,2,7,3,7,9,7,3,3,2,4c,740,0,100044_2014,4780
10,100047,0,1,5,67,2,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,100047_2014,4781
10,100048,0,1,6,44,1,0,0,0,0,970,7,2,77,8,7,3,7,7,7,7,0,990,100048_2014,4782
10,100060,0,1,5,52,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100060_2014,4783
10,100063,0,1,5,29,2,1,0,0,690,0,2,7,3,7,4,7,1,3,2,4b,990,0,100063_2014,4784
10,100065,0,1,6,27,1,0,0,0,0,231,7,3,77,1,7,1,7,7,7,7,0,230,100065_2014,4785
10,100072,0,1,5,60,2,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,100072_2014,4786
10,100075,0,1,5,54,2,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0,100075_2014,4787
10,100076,0,1,5,39,1,1,0,0,690,0,2,7,3,7,9,7,4,3,1,2c,990,0,100076_2014,4788
10,100080,0,1,5,19,1,0,0,0,440,0,3,7,4,7,8,7,8,8,8,8,400,0,100080_2014,4789
10,100080,0,2,5,20,1,0,0,0,440,0,3,7,4,7,8,7,8,8,8,8,400,0,100080_2014,4790
10,100083,0,1,5,75,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100083_2014,4791
10,100087,0,1,5,51,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100087_2014,4792
10,100090,0,1,5,37,2,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0,100090_2014,4793
10,100091,0,1,5,30,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100091_2014,4794
10,100094,0,1,5,78,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100094_2014,4795
10,100096,0,1,5,58,2,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,100096_2014,4796
10,100097,0,1,5,40,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,100097_2014,4797
10,100102,0,1,5,17,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,100102_2014,4798
10,100103,0,1,5,33,1,0,0,0,710,0,3,7,3,7,8,7,8,8,8,8,720,0,100103_2014,4799
10,100105,0,1,5,55,1,1,1,1,770,0,1,7,2,7,2,7,3,3,2,3b,750,0,100105_2014,4800
10,100106,0,1,6,64,1,0,0,0,0,250,7,3,77,1,7,2,7,7,7,7,0,258,100106_2014,4801
10,100109,0,1,5,25,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100109_2014,4802
10,100109,0,2,5,53,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,100109_2014,4803
11,110002,0,1,5,34,1,0,0,0,150,0,3,7,9,7,8,7,8,8,8,8,100,0,110002_2014,4804
11,110003,0,1,5,41,1,1,1,0,781,0,1,7,2,7,2,7,4,1,2,11b,790,0,110003_2014,4805
11,110004,0,1,5,61,1,0,1,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0,110004_2014,4806
11,110007,0,1,5,44,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0,110007_2014,4807
11,110011,0,1,5,3,2,0,0,0,320,0,3,7,3,7,8,7,8,8,8,8,350,0,110011_2014,4808
11,110012,0,1,5,58,2,0,1,0,410,0,2,7,3,7,1,7,2,3,1,2b,400,0,110012_2014,4809
11,110018,0,1,6,53,2,1,1,0,0,143,7,1,77,1,7,3,7,7,7,7,0,140,110018_2014,4810
11,110019,0,1,5,63,1,0,1,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,110019_2014,4811
11,110020,0,1,5,26,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,110020_2014,4812
11,110022,0,1,5,72,1,1,1,0,690,0,2,7,3,7,1,7,3,1,2,12b,990,0,110022_2014,4813
24,240008,0,1,5,31,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240008_2014,4814
24,240011,0,1,5,58,2,1,1,0,760,0,1,7,2,7,1,7,2,3,2,3b,750,0,240011_2014,4815
24,240012,0,1,5,31,1,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0,240012_2014,4816
24,240015,0,1,5,61,1,0,1,0,160,0,3,7,3,7,8,7,8,8,8,8,100,0,240015_2014,4817
24,240017,0,1,5,22,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240017_2014,4818
24,240021,0,1,5,16,2,0,1,0,150,0,3,7,5,7,8,7,8,8,8,8,100,0,240021_2014,4819
24,240021,0,2,5,13,2,0,1,0,150,0,3,7,5,7,8,7,8,8,8,8,100,0,240021_2014,4820
24,240021,0,3,5,15,1,0,1,0,150,0,3,7,5,7,8,7,8,8,8,8,100,0,240021_2014,4821
24,240026,0,1,5,54,1,0,0,0,311,0,3,7,4,7,8,7,8,8,8,8,310,0,240026_2014,4822
24,240027,0,1,5,90,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240027_2014,4823
24,240034,0,1,5,58,1,0,0,0,742,0,3,7,3,7,8,7,8,8,8,8,740,0,240034_2014,4824
24,240036,0,1,5,24,1,0,1,0,150,0,3,7,3,7,8,7,8,8,8,8,100,0,240036_2014,4825
24,240037,0,1,5,54,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240037_2014,4826
24,240038,0,1,5,26,1,0,0,0,190,0,3,7,3,7,8,7,8,8,8,8,100,0,240038_2014,4827
24,240040,0,1,5,24,1,1,0,0,760,0,1,7,2,7,4,7,1,3,2,3b,750,0,240040_2014,4828
24,240041,0,1,5,71,1,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,240041_2014,4829
24,240043,0,1,5,73,2,0,1,0,213,0,3,7,3,7,8,7,8,8,8,8,200,0,240043_2014,4830
24,240044,0,1,5,27,1,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0,240044_2014,4831
24,240047,0,1,5,62,2,1,1,0,781,0,1,7,2,7,2,7,4,1,2,11b,790,0,240047_2014,4832
24,240049,0,1,5,91,1,1,1,0,690,0,1,7,2,7,2,7,1,3,2,3a,990,0,240049_2014,4833
24,240054,0,1,5,60,1,9,9,0,760,0,1,7,1,7,9,7,3,3,2,4c,750,0,240054_2014,4834
24,240059,0,1,5,58,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240059_2014,4835
24,240070,0,1,5,28,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240070_2014,4836
24,240072,0,1,5,23,1,1,1,0,760,0,1,7,2,7,4,7,1,3,1,1b,750,0,240072_2014,4837
24,240074,0,1,5,64,1,0,1,0,781,0,1,7,1,7,4,7,2,1,2,12b,790,0,240074_2014,4838
24,240075,0,1,5,58,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240075_2014,4839
24,240077,0,1,5,42,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240077_2014,4840
