st_case_year,STATE,ST_CASE,VEH_NO,MDRDSTRD,idno
240353_2013,24,240353,2,0,710
240354_2013,24,240354,1,0,711
240355_2013,24,240355,1,93,712
240355_2013,24,240355,2,1,713
240356_2013,24,240356,1,93,714
240356_2013,24,240356,2,0,715
240357_2013,24,240357,1,0,716
240358_2013,24,240358,1,0,717
240359_2013,24,240359,1,93,718
240359_2013,24,240359,2,0,719
240359_2013,24,240359,3,93,720
240360_2013,24,240360,1,0,721
240361_2013,24,240361,1,99,722
240361_2013,24,240361,2,0,723
240361_2013,24,240361,3,0,724
240362_2013,24,240362,1,0,725
240363_2013,24,240363,1,93,726
240364_2013,24,240364,1,0,727
240364_2013,24,240364,2,0,728
240365_2013,24,240365,1,0,729
240366_2013,24,240366,1,0,730
240367_2013,24,240367,1,0,731
240368_2013,24,240368,1,93,732
240369_2013,24,240369,1,0,733
240370_2013,24,240370,1,0,734
240371_2013,24,240371,1,0,735
240372_2013,24,240372,1,0,736
240373_2013,24,240373,1,93,737
240374_2013,24,240374,1,0,738
240375_2013,24,240375,1,0,739
240376_2013,24,240376,1,0,740
240376_2013,24,240376,2,0,741
240377_2013,24,240377,1,0,742
240377_2013,24,240377,2,93,743
240378_2013,24,240378,1,99,744
240379_2013,24,240379,1,0,745
240379_2013,24,240379,2,93,746
240380_2013,24,240380,1,99,747
240381_2013,24,240381,1,0,748
240381_2013,24,240381,2,0,749
240382_2013,24,240382,1,0,750
240383_2013,24,240383,1,93,751
240383_2013,24,240383,2,0,752
240383_2013,24,240383,3,0,753
240383_2013,24,240383,4,0,754
240383_2013,24,240383,5,0,755
240384_2013,24,240384,1,0,756
240384_2013,24,240384,2,0,757
240385_2013,24,240385,1,1,758
240385_2013,24,240385,2,16,759
240386_2013,24,240386,1,0,760
240387_2013,24,240387,1,0,761
240388_2013,24,240388,1,93,762
240388_2013,24,240388,2,0,763
240389_2013,24,240389,1,0,764
240389_2013,24,240389,2,0,765
240390_2013,24,240390,1,93,766
240391_2013,24,240391,1,93,767
240392_2013,24,240392,1,0,768
240392_2013,24,240392,2,0,769
240393_2013,24,240393,1,5,770
240394_2013,24,240394,1,0,771
240395_2013,24,240395,1,93,772
240395_2013,24,240395,2,0,773
240396_2013,24,240396,1,93,774
240396_2013,24,240396,2,0,775
240397_2013,24,240397,1,99,776
240397_2013,24,240397,2,0,777
240398_2013,24,240398,1,0,778
240398_2013,24,240398,2,0,779
240399_2013,24,240399,1,99,780
240399_2013,24,240399,2,0,781
240400_2013,24,240400,1,1,782
240400_2013,24,240400,2,0,783
240401_2013,24,240401,1,0,784
240401_2013,24,240401,2,0,785
240402_2013,24,240402,1,99,786
240403_2013,24,240403,1,0,787
240403_2013,24,240403,2,0,788
240404_2013,24,240404,1,99,789
240404_2013,24,240404,2,0,790
240404_2013,24,240404,3,0,791
240405_2013,24,240405,1,99,792
240406_2013,24,240406,1,0,793
240407_2013,24,240407,1,0,794
240408_2013,24,240408,1,93,795
240408_2013,24,240408,2,0,796
240408_2013,24,240408,3,0,797
240409_2013,24,240409,1,0,798
240410_2013,24,240410,1,0,799
240411_2013,24,240411,1,93,800
240411_2013,24,240411,2,0,801
240412_2013,24,240412,1,0,802
240413_2013,24,240413,1,0,803
240414_2013,24,240414,1,93,804
240416_2013,24,240416,1,99,805
240417_2013,24,240417,1,0,806
240418_2013,24,240418,1,0,807
240419_2013,24,240419,1,99,808
240419_2013,24,240419,2,99,809
240420_2013,24,240420,1,0,810
240420_2013,24,240420,2,0,811
240421_2013,24,240421,1,0,812
240422_2013,24,240422,1,0,813
240423_2013,24,240423,1,0,814
240424_2013,24,240424,1,0,815
